Ride_ID,City,Date,Hour,Pickup_Zone,Drop_Zone,Ride_Distance_km,Estimated_Fare,Surge_Multiplier,EV_Battery_%,Driver_Available,Charging_Station_Nearby,Weather,Ride_Status,Cancellation_By
1,Hyderabad,2025-01-01,5,8,3,21.59,374.64,2.0,29,Yes,Yes,Heavy Rain,Completed,
2,Mumbai,2025-01-01,13,5,4,4.7,353.66,1.0,61,Yes,No,Rain,Completed,
3,Delhi,2025-01-01,11,5,5,3.52,329.88,2.0,30,Yes,Yes,Clear,Completed,
4,Bengaluru,2025-01-01,22,9,7,21.28,628.14,2.0,17,Yes,Yes,Clear,Cancelled,System
5,Hyderabad,2025-01-01,19,5,2,7.0,526.89,1.5,34,Yes,No,Rain,Completed,
6,Hyderabad,2025-01-01,2,4,10,10.39,728.01,1.2,84,Yes,Yes,Rain,Completed,
7,Hyderabad,2025-01-01,23,5,9,21.2,359.73,1.2,98,Yes,Yes,Heavy Rain,Completed,
8,Hyderabad,2025-01-01,23,4,1,16.54,300.76,2.0,63,No,Yes,Clear,Cancelled,Driver
9,Mumbai,2025-01-01,23,4,9,19.09,313.62,2.0,87,No,No,Clear,Cancelled,Rider
10,Delhi,2025-01-01,9,8,6,24.72,572.33,1.2,95,Yes,No,Clear,Completed,
11,Bengaluru,2025-01-01,2,8,4,7.02,461.19,2.0,57,Yes,No,Heavy Rain,Cancelled,Driver
12,Hyderabad,2025-01-01,18,2,5,12.62,283.01,2.0,80,No,No,Rain,Cancelled,System
13,Mumbai,2025-01-01,13,2,8,2.43,429.97,2.0,77,No,No,Clear,Cancelled,Rider
14,Delhi,2025-01-01,6,1,3,22.49,234.44,1.0,71,Yes,No,Clear,Cancelled,Rider
15,Bengaluru,2025-01-01,8,1,6,22.55,761.88,2.0,22,Yes,Yes,Clear,Completed,
16,Bengaluru,2025-01-01,16,7,10,19.31,457.15,2.0,56,Yes,Yes,Clear,Completed,
17,Bengaluru,2025-01-01,6,1,10,6.87,382.51,1.0,93,Yes,Yes,Clear,Completed,
18,Mumbai,2025-01-01,5,9,7,17.87,299.39,1.2,79,Yes,Yes,Heavy Rain,Completed,
19,Hyderabad,2025-01-01,12,10,3,13.73,715.12,1.0,85,Yes,Yes,Clear,Cancelled,Rider
20,Bengaluru,2025-01-01,15,3,10,12.83,762.69,1.0,91,Yes,No,Rain,Completed,
21,Mumbai,2025-01-01,1,8,4,12.07,170.56,1.5,67,Yes,Yes,Clear,Completed,
22,Mumbai,2025-01-01,8,7,10,2.36,174.83,1.5,83,Yes,Yes,Clear,Completed,
23,Hyderabad,2025-01-01,8,8,1,5.72,513.57,1.0,75,Yes,Yes,Clear,Completed,
24,Hyderabad,2025-01-01,6,2,2,3.09,539.88,1.0,88,Yes,Yes,Heavy Rain,Completed,
25,Mumbai,2025-01-02,9,4,9,18.78,667.65,2.0,65,Yes,Yes,Clear,Completed,
26,Mumbai,2025-01-02,5,10,6,22.93,381.75,1.0,95,Yes,Yes,Clear,Completed,
27,Hyderabad,2025-01-02,13,2,4,5.32,288.21,2.0,52,Yes,Yes,Clear,Completed,
28,Hyderabad,2025-01-02,0,3,3,20.75,446.13,1.0,63,Yes,No,Clear,Completed,
29,Bengaluru,2025-01-02,21,3,6,6.48,701.6,1.2,45,No,No,Clear,Cancelled,Rider
30,Bengaluru,2025-01-02,10,6,3,4.72,445.55,1.5,80,Yes,Yes,Clear,Completed,
31,Hyderabad,2025-01-02,0,7,2,9.06,380.5,1.2,68,No,Yes,Clear,Cancelled,Rider
32,Mumbai,2025-01-02,13,2,10,20.44,411.13,1.0,23,Yes,Yes,Rain,Completed,
33,Mumbai,2025-01-02,18,4,7,3.88,450.3,2.0,75,Yes,No,Clear,Completed,
34,Hyderabad,2025-01-02,6,2,5,6.07,662.32,1.5,95,Yes,Yes,Clear,Completed,
35,Delhi,2025-01-02,10,1,1,20.97,522.16,1.0,27,Yes,No,Heavy Rain,Completed,
36,Mumbai,2025-01-02,19,3,9,3.86,249.02,1.5,65,Yes,No,Clear,Completed,
37,Mumbai,2025-01-02,23,10,5,21.64,326.46,2.0,88,Yes,Yes,Rain,Completed,
38,Hyderabad,2025-01-02,6,3,8,22.49,185.66,1.2,61,Yes,Yes,Clear,Completed,
39,Delhi,2025-01-02,16,6,4,15.93,314.61,1.2,51,Yes,Yes,Heavy Rain,Completed,
40,Mumbai,2025-01-02,23,8,3,9.22,765.72,2.0,66,Yes,Yes,Clear,Cancelled,Rider
41,Hyderabad,2025-01-02,8,10,8,16.2,357.93,1.2,45,Yes,Yes,Clear,Completed,
42,Delhi,2025-01-02,13,3,4,18.46,419.43,1.2,34,Yes,No,Clear,Completed,
43,Mumbai,2025-01-02,20,5,9,5.27,298.02,1.0,93,Yes,Yes,Rain,Cancelled,Driver
44,Bengaluru,2025-01-02,7,7,8,3.85,441.54,1.0,87,Yes,Yes,Clear,Completed,
45,Mumbai,2025-01-02,18,10,3,11.3,610.52,1.5,83,Yes,No,Clear,Completed,
46,Delhi,2025-01-02,8,4,10,15.06,793.46,2.0,30,Yes,Yes,Rain,Completed,
47,Bengaluru,2025-01-02,17,3,6,23.87,489.26,1.0,19,No,Yes,Rain,Cancelled,Driver
48,Bengaluru,2025-01-02,2,7,6,21.49,744.84,1.2,43,Yes,No,Rain,Completed,
49,Mumbai,2025-01-03,0,6,1,17.57,265.63,1.0,99,Yes,Yes,Clear,Completed,
50,Bengaluru,2025-01-03,5,9,6,21.6,688.76,1.0,34,Yes,Yes,Rain,Completed,
51,Delhi,2025-01-03,9,2,7,10.6,130.17,2.0,33,Yes,No,Heavy Rain,Completed,
52,Hyderabad,2025-01-03,4,3,9,22.73,321.88,1.2,95,Yes,No,Heavy Rain,Completed,
53,Hyderabad,2025-01-03,19,6,8,19.84,375.19,1.5,89,Yes,Yes,Heavy Rain,Completed,
54,Hyderabad,2025-01-03,15,2,1,9.49,456.81,1.0,18,Yes,No,Rain,Cancelled,System
55,Mumbai,2025-01-03,1,9,4,16.1,565.7,2.0,40,Yes,Yes,Clear,Completed,
56,Hyderabad,2025-01-03,13,5,2,11.0,740.19,1.0,60,Yes,No,Clear,Cancelled,Rider
57,Mumbai,2025-01-03,20,2,7,9.89,676.61,1.5,66,Yes,No,Clear,Completed,
58,Delhi,2025-01-03,14,3,10,23.78,585.89,2.0,41,No,No,Clear,Cancelled,Driver
59,Mumbai,2025-01-03,16,2,6,19.29,283.47,2.0,88,No,No,Rain,Cancelled,Rider
60,Mumbai,2025-01-03,19,8,9,14.92,237.05,1.2,34,No,No,Clear,Cancelled,Rider
61,Bengaluru,2025-01-03,12,5,5,22.94,352.03,2.0,70,Yes,Yes,Rain,Completed,
62,Hyderabad,2025-01-03,12,5,9,23.19,288.97,1.2,79,Yes,No,Rain,Completed,
63,Delhi,2025-01-03,15,1,7,4.45,388.38,1.5,90,Yes,Yes,Rain,Completed,
64,Mumbai,2025-01-03,17,5,5,4.34,585.42,1.2,33,Yes,Yes,Clear,Completed,
65,Mumbai,2025-01-03,18,4,7,24.12,285.85,1.0,34,Yes,Yes,Clear,Completed,
66,Mumbai,2025-01-03,0,6,7,6.17,217.33,1.5,42,No,Yes,Clear,Cancelled,System
67,Hyderabad,2025-01-03,21,10,3,9.62,738.04,1.2,78,Yes,No,Clear,Completed,
68,Hyderabad,2025-01-03,7,5,9,14.49,131.48,1.0,90,Yes,Yes,Clear,Completed,
69,Bengaluru,2025-01-03,21,4,2,7.94,473.19,2.0,89,Yes,No,Clear,Completed,
70,Delhi,2025-01-03,15,5,5,24.58,558.25,1.2,74,Yes,Yes,Rain,Completed,
71,Hyderabad,2025-01-03,2,8,7,13.04,654.07,1.0,33,Yes,Yes,Rain,Completed,
72,Mumbai,2025-01-03,9,8,7,16.28,293.8,2.0,33,Yes,Yes,Clear,Completed,
73,Delhi,2025-01-04,1,3,6,22.27,407.26,1.0,48,Yes,No,Clear,Completed,
74,Hyderabad,2025-01-04,23,7,3,11.5,652.87,1.2,74,Yes,No,Clear,Completed,
75,Hyderabad,2025-01-04,22,7,8,20.31,355.36,1.2,16,Yes,No,Rain,Cancelled,Rider
76,Mumbai,2025-01-04,20,3,5,24.67,543.08,1.0,69,No,Yes,Rain,Cancelled,Driver
77,Hyderabad,2025-01-04,14,7,3,19.76,418.33,1.5,81,Yes,Yes,Clear,Completed,
78,Mumbai,2025-01-04,6,2,6,15.26,267.14,2.0,53,Yes,Yes,Heavy Rain,Completed,
79,Delhi,2025-01-04,13,10,9,19.61,418.41,1.0,78,Yes,No,Clear,Completed,
80,Mumbai,2025-01-04,11,3,7,2.78,647.65,1.2,88,Yes,No,Rain,Completed,
81,Hyderabad,2025-01-04,13,2,4,23.68,382.94,2.0,61,Yes,Yes,Clear,Completed,
82,Delhi,2025-01-04,3,6,8,17.03,588.09,2.0,79,No,Yes,Clear,Cancelled,System
83,Hyderabad,2025-01-04,7,5,10,3.44,198.97,1.2,50,Yes,Yes,Clear,Cancelled,Rider
84,Hyderabad,2025-01-04,13,6,1,12.23,262.7,1.0,67,Yes,No,Rain,Completed,
85,Hyderabad,2025-01-04,18,9,10,15.71,654.03,2.0,50,Yes,Yes,Clear,Completed,
86,Delhi,2025-01-04,22,3,2,7.7,703.35,1.2,23,Yes,Yes,Rain,Completed,
87,Hyderabad,2025-01-04,2,8,9,5.2,192.41,1.5,35,No,Yes,Rain,Cancelled,Driver
88,Hyderabad,2025-01-04,6,5,10,17.56,602.92,1.2,23,Yes,Yes,Clear,Completed,
89,Mumbai,2025-01-04,5,7,8,24.16,563.44,1.2,57,Yes,Yes,Rain,Completed,
90,Hyderabad,2025-01-04,18,6,1,12.97,338.99,1.0,72,Yes,Yes,Rain,Completed,
91,Delhi,2025-01-04,20,8,1,18.41,505.49,2.0,40,Yes,Yes,Rain,Cancelled,System
92,Hyderabad,2025-01-04,7,7,2,7.61,127.39,1.0,70,Yes,Yes,Clear,Cancelled,System
93,Bengaluru,2025-01-04,3,9,9,21.26,345.56,2.0,96,Yes,Yes,Clear,Completed,
94,Delhi,2025-01-04,13,7,4,24.78,748.24,1.5,36,Yes,No,Clear,Completed,
95,Delhi,2025-01-04,14,7,2,17.11,555.68,2.0,70,Yes,Yes,Rain,Completed,
96,Delhi,2025-01-04,19,8,8,12.35,585.05,1.2,22,Yes,No,Rain,Completed,
97,Delhi,2025-01-05,7,4,6,5.06,517.78,1.5,52,Yes,Yes,Heavy Rain,Completed,
98,Delhi,2025-01-05,11,2,4,23.05,406.06,1.5,47,Yes,Yes,Clear,Cancelled,Rider
99,Hyderabad,2025-01-05,13,3,2,10.0,791.85,1.5,84,Yes,Yes,Rain,Completed,
100,Hyderabad,2025-01-05,6,4,3,21.75,421.48,2.0,59,No,Yes,Heavy Rain,Cancelled,System
101,Bengaluru,2025-01-05,16,10,10,2.72,394.41,1.0,51,Yes,Yes,Heavy Rain,Completed,
102,Hyderabad,2025-01-05,16,8,4,11.15,323.49,1.5,45,No,Yes,Clear,Cancelled,Driver
103,Bengaluru,2025-01-05,7,7,8,20.34,575.93,1.0,18,Yes,Yes,Clear,Cancelled,Rider
104,Bengaluru,2025-01-05,15,4,10,5.4,308.69,1.2,28,Yes,Yes,Rain,Completed,
